employer,headline,occupation,ai_industry,ai_locations,ai_technology
"Swedbank AB","Senior Performance Tester to Digital Banking",Systemtestare,Banking,"Stockholm Umeå, Tallinn, Riga and Vilnius","Linux or Unix,Network communication,Analyze diagnostics/profiling,C, Java or other modern developing language,Database (concept/monitoring/database SQL)"
"Swedbank AB","Agile Coach    ","Metodanalytiker, IT",Banking,"Stockholm Umeå, Tallinn, Riga and Vilnius","Agile methods,Scrum Master,Agile Coaching,Lean Transformation"
"Swedbank AB","Manager for Agile Centre of Excellence   ","Metodanalytiker, IT",Banking,"Stockholm Umeå, Tallinn, Riga and Vilnius","IT management,Development,Maintenance"
"Swedbank AB","Business Analyst    ",Kravanalytiker,Banking,Swedbank,"GPP-SP,RTGS/Net settlement clearings,Enterprise Architecture"
"Swedbank AB","Agile Coach    ","Metodanalytiker, IT",Banking,"Stockholm Umeå, Tallinn, Riga and Vilnius","Agile,Scrum,Lean"
"Swedbank AB","Robotics Agile Product Owner (APO) ",IT-arkitekt/Lösningsarkitekt,Banking,"Stockholm,Umeå,Tallinn,Riga,Vilnius","RPA,Blue Prism,Windows"
"Swedbank AB","Pega Platform Engineer",IT-arkitekt/Lösningsarkitekt,Banking,"Stockholm,Umeå,Tallinn,Riga,Vilnius","Pega Platform,System Design,Development,Integration,Automation"
"Swedbank AB","Agile Product Owner (APO) for the Pega Platform ",IT-arkitekt/Lösningsarkitekt,Banking,"Stockholm,Umeå,Tallinn,Riga,Vilnius","Pega platform,Software development,Maintenance"
"Swedbank AB","Security Incident Response Team (SIRT) Officer ","Säkerhetsansvarig, IT","Financial Services","Stockholm, Umeå, Tallinn, Riga, Vilnius","Windows ,Linux ,Computer networks ,Forensics ,Log analysis ,Network traffic analysis ,Java ,Python ,OSINT ,Malware reverse engineering ,DevOps ,Large scale installations"
"Swedbank AB","Software Engineer  – z/OS Developer",Systemutvecklare/Programmerare,Banking,"Stockholm Umeå, Tallinn, Riga and Vilnius","IBM z/OS,Optim,Writing JCL Procedures,IMS/DB2,Rexx"
"Swedbank AB","Software Engineer Frontend developer with test focus",Systemutvecklare/Programmerare,Banking,"Not mentioned","HTML5,Angular,CSS3,Node.js,GIT,Webstorm,Jenkins,Selenium,Protractor"
"Swedbank AB","Android developer",Applikationsutvecklare/Apputvecklare,Banking,"Umeå, Sweden","Java,HTML,CSS3,JavaScript,Git,JSON,REST,Native Android Development"
"Swedbank AB","IOS Developer",Applikationsutvecklare/Apputvecklare,Banking,"Umeå, Sweden","Objective-C,Swift,JSON,REST,HTML,CSS3,JavaScript,Git"
"Swedbank AB","Enterprise Architect",Systemutvecklare/Programmerare,Banking,"Stockholm Umeå, Tallinn, Riga and Vilnius","IT management ,Development ,Maintenance ,Target Architecture ,APO ,CPO ,BIO"
"Swedbank AB","Software Engineer – z/OS utvecklare",Systemutvecklare/Programmerare,Banking,"Stockholm,Umeå,Tallinn,Riga,Vilnius","IBM z/OS,Optim,JCL Procedures,IMS/DB2,Rexx"
"Swedbank AB","Business Analyst Impairment Calculation CFT",Mjukvaruutvecklare,Banking,N/A,"SAS,Impairment Calculation Engine (ICE)"
"Swedbank AB","Senior Cloud Engineer",Mjukvaruutvecklare,Banking,"Stockholm, Tallinn, Vilnius and Riga","Cloud services,Automation,Monitoring,Cloud networking,Enterprise cloud platforms (AWS, Azure),Python/PowerShell,Monitoring/alerting tools (Zabbix, Sensu, InfluxData, Prometheus, ELK, Graylog),Server platforms (Windows, Linux),Storage,Application structure (2-tier, 3-tier),Identity,Security (Encryption, PKI),Load balancing,Scripting languages,Integration patterns,Security,API's"
"Swedbank AB","Software engineer- IOS Developer",Applikationsutvecklare/Apputvecklare,Banking,"Umeå, Sweden","Objective-C,Swift,JSON,REST,HTML,CSS3,JavaScript,Git"
"Swedbank AB","Software Engineer to Team Bank Loans ",Systemansvarig,Banking,Sweden,"Core Java,JavaScript,JSP,SQL,Angular JS"
"Swedbank AB","Information Security Architect",Systemutvecklare/Programmerare,Banking,"Stockholm, Tallinn, Vilnius and Riga","IT Security ,Software Engineering ,Infrastructure Engineering ,Cyber Security"
"Swedbank AB","Infrastructure engineer for Middleware team, Infrastructure & Operations",Systemansvarig,Banking,"Stockholm, Tallinn, Vilnius and Riga","IBM WebSphere Application Servers,Automation platforms like Jenkins, IBM UrbanCode Deploy,Java,Python,Groovy,Shell Script,Linux,UNIX (Solaris)"
"Swedbank AB","Agile Product Owner to the Cards Acquiring area, Commerce",Systemförvaltare,Banking,Swedbank,"Agile Product Owner,Card Acquiring systems and services,Clearing & Settlement,PayEx,People management skills,Communication management skills,Product manager,Project manager,Business system manager,Client solutions,Maintenance and lifecycle management"
"Swedbank AB","Software Engineer Mainframe/Cobol to the Cards Acquiring area, Commerce",Systemansvarig,Banking,Swedbank,"Mainframe,DB2,Cobol,SQL"
"Swedbank AB","ScrumMaster to the Cards Acquiring area, Commerce",Systemutvecklare/Programmerare,Banking,Swedbank,"Mainframe,Cobol"
"Swedbank AB","Storage Infrastructure Engineer to Data Center Hosting",Systemansvarig,Banking,"Stockholm, Tallinn, Vilnius and Riga","Data Center Hosting,Windows Server,Unix/Linux,Virtual Infrastructure,Storage,SAN,File & Block Storage,Archive,Backup,Scripting/Programming,VmWare,Linux,Windows Server,Service Now"
"Swedbank AB","ISO 20022-expert to Group Consumer Payments",Infrastrukturarkitekt,Banking,Sweden,"ISO20022,SWIFT,EDIFACT"
"Swedbank AB","Windows Infrastructure Engineer to Data Center Hosting",Systemutvecklare/Programmerare,Banking,"Stockholm, Tallinn, Vilnius and Riga","Microsoft Windows Server,VMware,SCCM,SCOM,MS PowerShell scripting,McAfee,NetBackup,Network, TCP/IP,Service Now"
"Swedbank AB","Agile Product Owner to Team Core","Projektledare, IT","Banking and Financial Services","Sweden and Vilnius","Base24,PRM,Zachi,TMS,Babs Access,BPM Babs Onboarding"
"Swedbank AB","Software engineer - Senior android developer",Mjukvaruutvecklare,Banking,"Umeå, Sweden","Java,HTML,CSS3,JavaScript,Git,JSON,REST"
"Swedbank AB","Security Incident Response Team (SIRT) Officer ","Säkerhetsansvarig, IT","Financial Services","Stockholm, Tallinn, Vilnius and Riga","Windows ,Linux ,Computer networks ,Forensics ,Log analysis ,Network traffic analysis ,Java ,Python ,OSINT ,Malware reverse engineering ,DevOps ,Large scale installations"
"Swedbank AB","API Engineer/ Expert",Systemutvecklare/Programmerare,Banking,"Stockholm, Tallinn, Vilnius, Riga","API design,API development,API life-cycle management,Cloud,On premise,Integration solutions development,Delivery pipelines"
"Swedbank AB","Scrum Master",IT-strateg,Banking,N/A,"Software Engineering,Application Specialist,Business Analysis,Software Development,Project Management,Service Management,Agile Methodologies"
"Swedbank AB","Software engineer",Mjukvaruutvecklare,Banking,Swedbank,"Java,JavaScript,Web Services"
"Swedbank AB","Business Analyst for PRM",Mjukvaruutvecklare,Banking,"Sweden and Vilnius","Business Support ,Product Owner ,Product Specialist ,Requirements Specialist ,Software Development ,Application Maintenance"
"Swedbank AB","Business Analyst for Virtual Assistant Development",Mjukvaruutvecklare,Banking,Swedbank,"Digital Banking,Agile Product Owner,Requirement specialist,Business developer,System analyst,Product owner,Test Manager/Coordinator (Acceptance/System)"
"Swedbank AB","Business Analyst ",Mjukvaruutvecklare,Banking,Sweden,"Digital Banking,Customer Experience,Innovation,Development,Maintenance of Channels and Tools,Agile Methodology"
"Swedbank AB","Software Engineer – Senior Java developer  ",Systemutvecklare/Programmerare,Banking,N/A,"JEE,Servlets,EJB,Web services,REST,Mockito,JUnit,GIT,Gradle,WebSphere Application Server,Eclipse"
"Swedbank AB","Experienced Software engineer/Developer ",Systemutvecklare/Programmerare,Banking,"Home markets","Java,REST,JSON,Design Patterns,Angular,SCSS,GIT,NPM,ES6,Typescript,Javascript"
"Swedbank AB","Senior Software engineer/Tech lead ",Systemutvecklare/Programmerare,Banking,Swedbank,"Junit 4,GIT,NPM,ES6,Typescript,Javascript"
"Swedbank AB","Software Engineer/JAVA developer with front end knowledge",Mjukvaruutvecklare,Banking,N/A,"Java/J2EE,Web-services,REST,Spring Webflow,ES6,HTML5,AngularJS,Angular (2+),Typescript,CSS3,node.js,GIT,RTC,Gradle,WebSphere Application Server,Eclipse"
"Swedbank AB","Scrum master",Systemutvecklare/Programmerare,Banking,Swedbank,"Project management,Service management,Agile methodologies,SW Development"
"Swedbank AB","Scrum Master to FICC, LC&I in Vilnius",Systemutvecklare/Programmerare,Banking,"Sweden,Estonia,Latvia,Lithuania,Norway,Finland,U.S.,South Africa,China,Luxembourg","Calypso,Agile methodology"
"Swedbank AB","Information Security Officer (ISO)","Säkerhetsanalytiker, IT",Banking,"Stockholm,Tallinn,Vilnius,Riga","IT Security,Cloud Computing,Applied Technologies"
"Swedbank AB","Agile Product Owner to Payment Infrastructure and Corporate Payments ",IT-strateg,Banking,Swedbank,"Mainframe,Agile"
"Swedbank AB","Software Engineer with Test Focus",Systemtestare,Banking,Swedbank,"Test automation,Mobile Applications,Internet based solutions,Complex integrations"
"Swedbank AB","Software Engineer – Senior Java developer  ",Frontend-utvecklare,Banking,Sweden,"JEE,Servlets,EJB,Web services,REST,Mockito,JUnit,GIT,Gradle,WebSphere Application Server,Eclipse"
"Swedbank AB","Business Analyst with Test Focus",Mjukvaruutvecklare,Banking,Swedbank,"Digital Banking,Customer Experience,Innovation,Development,Maintenance of Channels and Tools,Agile"
"Swedbank AB","Scrum Master",IT-strateg,Banking,Sweden,"CRM tool,SWAP (Swedbank Agile Process),Software Engineering,Application Specialist"
"Swedbank AB","Agile Product Owner","Projektledare, IT",Banking,"Sweden and the Baltics","CRM tool,Employee Tools,Digital services,Agile Product Owner"
"Swedbank AB","Business Analyst",Mjukvaruutvecklare,Banking,Sweden,"CRM tool,Employee Tools,Digital services,User experience"
"Swedbank AB","Business Analyst",Mjukvaruutvecklare,Banking,Sweden,"CRM tool,Employee Tools,Digital services,User experience"
"Swedbank AB","Software Engineer to Fund Distribution ",Systemutvecklare/Programmerare,Banking,Swedbank,"Software Engineering ,Agile Way of Working ,Programming Languages ,Application Structure ,Hardware"
"Swedbank AB","Agile Product Owner (APO) to Fund Distribution","Projektledare, IT",Banking,"Sweden and Lithuania","Unit holder register for funds (Rikare),Software development and maintenance,Stakeholder management"
"Swedbank AB","Agile Product Owner",Systemutvecklare/Programmerare,Banking,Swedbank,"Communication ,Branding ,Infrastructure ,HR ,Legal ,Security & Investigation ,Strategic Alignment ,Public Affairs ,Cloud Solutions"
"Länsförsäkringar AB","IT-arkitekt inom digitalisering till Länsförsäkringar",IT-arkitekt/Lösningsarkitekt,"Banking and Insurance","Not mentioned","Tjänsteorienterad arkitektur ,Agila arbetssätt ,System med höga krav på tillgänglighet"
"Swedbank AB","Agile Product Owner",Systemutvecklare/Programmerare,Banking,Swedbank,"Digital Banking ,Agile ,Software Engineering"
"Swedbank AB","Software Engineer – Senior Developer  ",Systemutvecklare/Programmerare,Banking,"Not mentioned","JSP,JavaScript,Angular JS,FDP,Core Java"
"Swedbank AB","Software Engineer/JAVA developer with front end knowledge",Mjukvaruutvecklare,Banking,N/A,"Java/J2EE,Web-services,REST,Spring Webflow,ES6,HTML5,AngularJS,Angular (2+),Typescript,CSS3,node.js,GIT,RTC,Gradle,WebSphere Application Server,Eclipse"
"Swedbank AB","Program Coordinator ",Systemtestare,Banking,Swedbank,"IT integration ,Agile work ,SWAP"
"Swedbank AB","Software Engineer – Valuation Area",Systemutvecklare/Programmerare,"Financial Services",Sweden,"SQL Server,C#,Access/Excel/VBA,Python,Pearl,Matlab,Reuters and Bloomberg APIs"
"Swedbank AB","Software Engineer - System analyst",Mjukvaruutvecklare,Banking,Sweden,"ETL,Java,Data Sourcing,Agile Development"
"Scania IT","Erfararen Projektledare till Product Development IT, Scania IT","Projektledare, IT","Lastbilstillverkare,Tjänsteleverantör av kompletta transportlösningar","Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien","Systemutveckling,IT-drift,Infrastruktur,Digitalisering"
"Swedbank AB","Agile Product Owner - Infra & Security, Techstream",Systemutvecklare/Programmerare,Banking,"Not mentioned","DevOps,Continuous Integration/Continuous Delivery,Containers,Scrum Methodology"
"Swedbank AB","Business Analyst",Systemanalytiker/Systemutredare,Banking,Swedbank,"Business Service/System Management,Test Leader,Project Manager,Scrum Master,Agile Product Owner,Team Manager"
"Swedbank AB","Software Engineer to Acquiring Sweden Team 1",Systemutvecklare/Programmerare,Banking,Swedbank,"Mainframe,DB2,Cobol,SQL"
"Swedbank AB","Business Analyst ",Affärsarkitekt,Banking,Swedbank,"Business Service/System Management,Test Leader,Project Manager,Card Acquiring or Issuing"
"Swedbank AB","Software Engineer – Fixed Income, Currency & Commodities","Civilingenjör, systemutveckling",Banking,"Sweden,Estonia,Latvia,Lithuania,Norway,Finland,U.S.,South Africa,China,Luxembourg","Java programming,UNIX,DB/SQL,MQ"
"Swedbank AB","Business Analyst – Fixed Income, Currency & Commodities",IT-strateg,Banking,"Sweden,Estonia,Latvia,Lithuania,Norway,Finland,U.S.,South Africa,China,Luxembourg","Calypso,Back Office (FX/FI),Front Office (FX/FI)"
"Swedbank AB","Value Stream Architect for Controlling & Steering ","Civilingenjör, systemutveckling",Banking,Swedbank,"IT architecture ,Business architecture ,Software Engineering and Design ,Business analyst"
"Swedbank AB","Senior Software engineer - Scrum master",Mjukvaruutvecklare,Banking,Swedbank,"ETL ,Data Sourcing ,Financial Risk Platforms and Tools ,Agile Development Methods"
"Swedbank AB","Software Engineers ISK & IPS",Systemutvecklare/Programmerare,Banking,"Sundbyberg, Vilnius","Cobol,DB2,Stordatorkompetens"
"Swedbank AB","Business Analyst with Test Focus to Digital Banking",Mjukvaruutvecklare,Banking,Swedbank,"Digital Banking,Customer Experience,Innovation,Development,Maintenance of Channels and Tools,Agile"
"Swedbank AB","Experienced Software engineer/Developer ",Systemutvecklare/Programmerare,Banking,"Home markets","Java,REST,JSON,Design Patterns,Angular,SCSS,GIT,NPM,ES6,Typescript,Javascript"
"Swedbank AB","Software Engineer to Fund Distribution ",Systemutvecklare/Programmerare,Banking,Sweden,"Software Engineering,Agile Way of Working,Programming Languages,Application Structure,Hardware"
"Swedbank AB","Infrastructure engineer to Application Integration",Nätverkstekniker,Banking,"Stockholm, Tallinn, Vilnius and Riga","IBM WebSphere Application Servers,Automation platforms like Jenkins, IBM UrbanCode Deploy,System Performance analysis,Program and scripting skills in"
"Swedbank AB","Infrastructure Engineer with focus on RACF",Infrastrukturarkitekt,Banking,"Stockholm, Tallinn, Vilnius and Riga","IBM-z platform,GDPS,System Automation,Netview,RACF,Cobol,SIEM Tools (Security Engineer and Event Management)"
"Swedbank AB","Software Engineer - Senior Frontend Developer",Frontend-utvecklare,Banking,"Sweden and the Baltic countries","HTML5,Angular,CSS3,Node.js,GIT,Webstorm,Jenkins,Selenium,Protractor"
"Swedbank AB","Software Engineer ",Backend-utvecklare,Banking,"Sweden,Estonia,Latvia,Lithuania,Norway,Finland,U.S.,South Africa,China,Luxembourg","Java,Scripting,SQL,GIT,Jira,Jenkins,VMware,Linux,Customized software"
"Swedbank AB","Information Security Architect",Systemutvecklare/Programmerare,Banking,"Stockholm, Tallinn, Vilnius and Riga","IT Security ,Software Engineering ,Infrastructure Engineering ,Cyber Security"
"Swedbank AB","API Engineer/ Expert",Systemutvecklare/Programmerare,Banking,"Stockholm, Tallinn, Vilnius, Riga","API design,API development,API life-cycle management,Cloud,On premise,Integration solutions development,Delivery pipelines,Agile setup"
"Swedbank AB","Software engineer - Senior android developer",Mjukvaruutvecklare,Banking,"Umeå, Sweden","Java,HTML,CSS3,JavaScript,Git,JSON,REST"
"Swedbank AB","Information Security Officer ","Säkerhetsansvarig, IT","Financial Services","Stockholm, Tallinn, Vilnius and Riga","Information Security Management ,IT Security ,Supplier Risk Management ,IT Audit"
"Swedbank AB","Infrastructure Engineer z Storage ","Civilingenjör, systemutveckling",Banking,"Stockholm, Tallinn, Vilnius, Riga","IBM-z ,GDPS ,System Automation ,Netview ,IWS ,zEDC compression ,DFSMS/hsm ,sms ,IntelliMagic"
"Swedbank AB","Windows Infrastructure Engineer to Infra Development Team",Mjukvaruutvecklare,Banking,"Stockholm, Tallinn, Vilnius and Riga","Windows,Microsoft operative applications (Exchange, AD, System Center CB),PKI infrastructure,Service Now,ITIL"
"Swedbank AB","Infrastructure Engineer – Senior Developer",Mjukvaruutvecklare,Banking,"Stockholm, Tallinn, Vilnius, Riga","PowerShell,.NET,C#,REST,SOAP,SQL Server,GIT,TFS,Javascript/Angular,Windows,Microsoft Operative Applications,PKI Infrastructure"
"Swedbank AB","Software Engineer ",Mjukvaruutvecklare,Banking,Swedbank,"Oracle Financial Accounting Hub ,Oracle General Ledger ,REKO systems"
"Swedbank AB","Software engineer  - SAS developer",Systemutvecklare/Programmerare,Banking,Swedbank,"SAS Data Integration Studio,SAS Management Console,SAS Enterprise Guide,SAS Model Implementation Platform,SAS Risk and Finance Workbench,SAS Visual Analytics,SAS Risk Dimensions,SAS/Access to Teradata,SAS Enterprise Miner"
"Swedbank AB","Information Security Architect",Systemutvecklare/Programmerare,Banking,"Stockholm, Tallinn, Vilnius, Riga","IT Security ,Digitalization ,Software Engineering ,Infrastructure Engineering"
"Swedbank AB","UX designer",Databasdesigner,"Financial Services","Stockholm, Sweden","UX design process,Design Thinking,Responsive webbplatser,Mobila appar,Sketch,Invision"
"Swedbank AB","Agile Product Owner to Card Issuing",Mjukvaruutvecklare,Banking,"Vilnius, Sundbyberg/Essingen","Card Issuing ,Agile Product Owner ,User Story-Backlog ,MVP ,People Management ,Communication Management ,Software Engineering ,Business System Management ,Client Solutions ,Maintenance and Lifecycle Management"
"Swedbank AB","Software Engineer for CICD/DevOps",Mjukvaruutvecklare,Finance,Sweden,"Git,Jenkins,Gradle,Artifactory,Java,Javascript,Source Control Management,Pipeline Automation,Test Automation Frameworks,CLI,UNIX/Linux,TCP/IP,Networking,Containers (Openshift, Docker)"
"Swedbank AB","Qlikview/Sense back-end developer",Mjukvaruutvecklare,Banking,Sweden,"Qlikview/Sense,JavaScript,CSS,REST APIs,Web mashups"
"Swedbank AB","Software Engineer Mainframe/Cobol ",Systemutvecklare/Programmerare,Banking,Swedbank,"COBOL,IMS,CICS,DB2,SQL,IBM MQ,Oracle Db"
"Swedbank AB","Software Engineer in Team Myra",Mjukvaruutvecklare,Banking,"Stockholm,Tallinn,Vilnius,Riga,Umeå","VB.NET,SQL,Teradata,Power Center,.NET,JAVA"
"Swedbank AB","SAS application specialist to Credit Risk Calculation and Analytics ",Systemutvecklare/Programmerare,Banking,Swedbank,"SAS Model Implementation Platform,SAS High Performance Risk setup,SAS Model Data Integration Studio,SAS Management Console,SAS Enterprise Guide,SAS Risk and Finance Workbench,SAS Visual Analytics,SAS Risk Dimensions,SAS/Access to Teradata,SAS Enterprise Miner,Red Hat Linux operating system,Windows Operating System"
"Swedbank AB","Business Analysts with passion for HR ",Systemutvecklare/Programmerare,Banking,Sweden,"Communication ,Branding ,Infrastructure ,HR ,Legal ,Security & Investigation ,Strategic Alignment ,Public Affairs ,Cloud-based Solutions ,Recruitment ,Onboarding ,Transfer ,Offboarding ,Salary ,Time ,Training/LMS ,Talent ,Compensation ,Benefits ,Development ,Business Intelligence ,Reporting ,Agile ,Quality Assurance ,Automation"
"Swedbank AB","API Engineer/ Expert",Systemutvecklare/Programmerare,Banking,"Stockholm, Tallinn, Vilnius and Riga","API design,Development and life-cycle management of both public and private APIs,Building integration and delivery pipelines"
"Swedbank AB","Business Analyst with Pricing edge",Systemutvecklare/Programmerare,Banking,Sweden,"Customer base analysis,Business Analysis,B2C Pricing,Financial analysis,Math/statistics,Data science/analytics,Data search and management,Storytelling,Written and verbal communication,Data visualization and reporting"
"Swedbank AB","Software Engineer – z/OS utvecklare",Systemutvecklare/Programmerare,Banking,"Stockholm,Umeå,Tallinn,Riga,Vilnius","z/OS,Optim,JCL Procedures,IMS/DB2,Rexx"
"Swedbank AB","Software Engineer Mainframe/Cobol ",Systemutvecklare/Programmerare,Banking,Swedbank,"COBOL,IMS,CICS,DB2,SQL,IBM MQ,Oracle Db"
"Swedbank AB","Software Engineer (Pega Platform)",Backend-utvecklare,Banking,"Stockholm, Tallinn, Vilnius, Riga","Pega platform,Software Engineering,System design,Development,Integration"
"Swedbank AB","Infrastructure Engineer - Network",Mjukvaruutvecklare,Banking,"Stockholm, Tallinn, Vilnius and Riga","Firewalls (Checkpoint),ADC (F5),IDS/IPS,Routing/Switching (Cisco Catalyst, Nexus, and ACI),Script writing,Automation of network services,Service based monitoring"
"Swedbank AB","Continuous Delivery Architect ",IT-arkitekt/Lösningsarkitekt,Banking,"Stockholm, Tallinn, Vilnius, Riga","Continuous Integration,Continuous Delivery,Platform as a Service (PaaS),Cloud based test frameworks,Container technology,Container Orchestration"
"Swedbank AB","Continuous Delivery Coach ",IT-arkitekt/Lösningsarkitekt,Banking,"Stockholm, Tallinn, Vilnius, Riga","Continuous Delivery,Test Automation"
"Swedbank AB","Information Security Architect",Systemutvecklare/Programmerare,Banking,"Stockholm, Tallinn, Vilnius, Riga","IT Security ,Software Engineering ,Infrastructure Engineering"
"Swedbank AB","Software Engineer for BI Reporting SE",Systemutvecklare/Programmerare,Banking,"Stockholm or Umeå","Java,SQL,Microstrategy,SAP BO,Qlik,Power BI"
"Swedbank AB","Agile Product Owner EIS Value Stream","Projektledare, IT",Banking,"Sweden,Estonia,Latvia,Lithuania,Norway,Finland,U.S.,South Africa,China,Luxembourg","Sales,Trading/Quant,IT development,Business Development,Business Operations"
"Swedbank AB","Cyber Security Investigator and  Threat Hunter",Datasäkerhetsansvarig,Banking,"Stockholm, Tallinn, Vilnius and Riga","Computer forensics,Log analysis,Windows security,Linux and Linux security,Networking and network security,Threat hunting,Malware analysis and reverse engineering,Software development,API threat analysis,Cloud security,Threat intelligence,Big data analysis"
"Swedbank AB","Scrum Master to Swedbank Insurance",Databasutvecklare,Banking,Sweden,"Software development,Project or test management,Business analysis"
"Swedbank AB","Software Engineer/Frontend developer with full stack ambitions",Systemutvecklare/Programmerare,Banking,Sweden,"ES6 ,HTML5 ,AngularJS ,Angular (2+) ,Typescript ,CSS3 ,Node.js ,NGRX ,GIT ,Webpack ,JAVA ,J2EE ,JUNIT ,REST"
"Swedbank AB","Scrum Master",Systemanalytiker/Systemutredare,Banking,Swedbank,"Digitalisation products,Agile methodology SWAP"
"Swedbank AB","Business Analyst",Systemanalytiker/Systemutredare,Financial,Swedbank,"Digitalisation products,Agile methodology SWAP"
"Swedbank AB","Software Engineer Java to Swish team",Systemutvecklare/Programmerare,Banking,Swedbank,"Java,Angular,Javascript,Git,Unit Tests,Selenium Tests"
"Swedbank AB","Software Engineer Cobol to Swish team",Systemutvecklare/Programmerare,Banking,Swedbank,"Mainframe,DB2,Cobol,SQL"
"Swedbank AB","Team Manager Investment Area FLP","Projektledare, IT",Banking,Swedbank,"Software development,People management,Communication,Team player"
"Swedbank AB",Architect,IT-arkitekt/Lösningsarkitekt,Banking,Swedbank,"Business Domain Architecture,Models, methods and tools used within architecture work,System analysis or programming"
"Swedbank AB","Software Engineer",Mjukvaruutvecklare,Banking,Sweden,"Java EE ,REST ,HTML5 ,Angular JS ,Spring ,Type Script ,MS SQL ,Oracle ,Web Services ,MQ ,Ajax ,REST/JSON"
"Swedbank AB","Software Engineer",Mjukvaruutvecklare,Banking,Sweden,"Java,HTML,CSS3,JavaScript,Spring,AngularJS,Ajax,REST/JSON,MS SQL,Oracle,Web Services,MQ"
"Swedbank AB","Software Engineer /Developer to Team Bank Loans ",Mjukvaruutvecklare,Banking,Sweden,"Core Java,JavaScript,JSP,SQL,Angular JS"
"Swedbank AB","Team Manager – Mainframe Development Platform and Batch Processing ",Systemanalytiker/Systemutredare,Banking,"Stockholm, Tallinn, Vilnius, Riga","Mainframe Development Platform ,Batch Processing ,Test Automation ,Continuous Delivery ,DevOps"
"Swedbank AB","Agile Product Owner– Mainframe Development Platform and Batch Processing",Mjukvaruutvecklare,Banking,"Stockholm, Tallinn, Vilnius and Riga","Secure delivery of appropriate, secure reliable IT services throughout the life-cycle,Test automation,Continuous Delivery,Batch processing"
